feature,importance
shop_total,0.3928989883928506
news_total,0.27185457154695686
cafe_total,0.25356918542504236
repeat_idx,0.05507117998887251
auto_table_count,0.016530239580253042
six_total,0.010075835066012279
auto_numeric_specificity_ratio,1.2356946006955105e-14
auto_cert_keyword_count,0.0
six_C_total,0.0
auto_list_item_count,0.0
auto_paragraph_count,0.0
auto_section_count,0.0
blog_total,0.0
auto_jsonld_field_count,0.0
six_D_total,0.0
six_B_total,0.0
auto_cert_keyword_first_position,0.0
six_A_total,0.0
auto_price_krw,0.0
auto_image_count,0.0
auto_ambiguous_term_count,0.0
auto_explicit_number_count,0.0
auto_clinical_keyword_count,0.0
auto_text_length,0.0
