,count,mean,std,min,25%,50%,75%,max,missing
text_length,26.0,4949.884615384615,13074.41711534988,37.0,350.75,2238.0,2655.25,66981.0,0
image_count,26.0,27.5,38.22904654840348,0.0,1.5,14.0,33.0,125.0,0
table_count,26.0,2.1538461538461537,2.80987270448051,0.0,0.0,0.0,5.0,7.0,0
list_item_count,26.0,72.5,98.19378799089075,0.0,3.75,41.0,58.75,369.0,0
paragraph_count,26.0,16.46153846153846,15.234778027213313,0.0,2.0,14.5,27.0,51.0,0
section_count,26.0,6.269230769230769,4.350243140861828,1.0,1.5,6.5,9.0,17.0,0
jsonld_field_count,26.0,2.769230769230769,3.581147216272375,0.0,0.0,0.0,7.0,8.0,0
cert_keyword_count,26.0,2.8076923076923075,3.1751438489521164,0.0,0.0,1.0,5.0,11.0,0
clinical_keyword_count,26.0,1.0769230769230769,3.908176832468837,0.0,0.0,0.0,0.75,20.0,0
explicit_number_count,26.0,16.576923076923077,50.896108359616704,0.0,0.0,0.0,4.75,243.0,0
ambiguous_term_count,26.0,0.3076923076923077,1.010711858809652,0.0,0.0,0.0,0.0,5.0,0
numeric_specificity_ratio,26.0,0.3100718725718726,0.4465103747716415,0.0,0.0,0.0,0.8645833333333334,1.0,0
price_krw,26.0,7450.961538461538,10105.036548101225,-1.0,-1.0,-1.0,20000.0,27900.0,0
sixth_schema,22.0,11.818181818181818,13.50004008331391,0.0,0.0,0.0,25.0,35.0,4
sixth_content,22.0,8.045454545454545,6.665313715528094,0.0,0.0,10.0,13.0,18.0,4
sixth_media,22.0,5.2272727272727275,4.849465539347198,0.0,0.0,6.0,6.0,15.0,4
sixth_commerce,22.0,7.636363636363637,8.109638325241994,0.0,0.0,4.0,15.0,20.0,4
sixth_total,22.0,32.72727272727273,29.542837046892103,0.0,0.0,30.5,59.0,82.0,4
